AGE,MEAN
3110,0.445826245206709
3120,0.454729246942064
3130,0.465182694152884
3140,0.477174654750962
3150,0.490213350429913
3160,0.503332021413542
3170,0.516481393163016
3180,0.529637675599691
3190,0.542777078644932
3200,0.555875812220094
3210,0.568910086246539
3220,0.581856110645632
3230,0.59469009533873
3240,0.607388250247194
3250,0.619926785292386
3260,0.632281910395666
3270,0.644429835478394
3280,0.656346770461932
3290,0.667968723399635
3300,0.679104468272523
3310,0.689715098634572
3320,0.699780633067798
3330,0.709459535813669
3340,0.718913477337842
3350,0.728127285558607
3360,0.737085788394261
3370,0.745773813763095
3380,0.754176189583404
3390,0.762277743773484
3400,0.770063304251627
3410,0.777517698936123
3420,0.784625755745272
3430,0.791372302597363
3440,0.79774216741069
3450,0.803720178103549
3460,0.809291162594231
3470,0.814439948801031
3480,0.819152274639049
3490,0.82348699044254
3500,0.827486097835189
3510,0.831148849221785
3520,0.834474497007115
3530,0.837462293595965
3540,0.840111491393123
3550,0.842421342803377
3560,0.844315676662611
3570,0.845369679408813
3580,0.845560916833435
3590,0.844766297345096
3600,0.843009671099264
3610,0.840367866300237
3620,0.836917711152311
3630,0.832736033859784
3640,0.827899662626955
3650,0.822485425658121
3660,0.816570151157581
3670,0.810230667329631
