SampleId;SEEDLE;ObjectId#;ProjArea;StraightLength;CurvedLength;StraightWidth;CurvedWidth;Curvature;VolCircle;VolEllipsoid;VolRectangle;VolConstPerim;SurfAreaCircle;SurfAreaEllipsoid;SurfAreaRectangle;SurfAreaConstPerim;SurfAreaPropPerim;WLRatio;HorizPosition;VertPosition;ProjPerimeter;ProjFormCoeff
103;SEEDLE;1;0.0385;0.4066;0.4221;0.2027;0.1606;0.0679;0.0028;0.0003;0.0004;0.0000;0.1147;0.0815;0.0803;0.0004;0.0365;0.4986;3.8320;1.8525;1.3153;0.2793
103;SEEDLE;2;0.0333;0.4239;0.4353;0.1130;0.1085;0.0547;0.0021;0.0002;0.0003;0.0000;0.1042;0.0741;0.0730;0.0004;0.0332;0.2665;4.1617;2.4858;1.0160;0.4050
103;SEEDLE;3;0.0273;0.2900;0.2971;0.1221;0.1193;0.0349;0.0022;0.0002;0.0003;0.0000;0.0864;0.0614;0.0605;0.0003;0.0275;0.4211;4.2639;1.8822;0.7573;0.5989
103;SEEDLE;4;0.0312;0.3088;0.3696;0.1393;0.2501;0.1842;0.0036;0.0004;0.0005;0.0000;0.1147;0.0815;0.0803;0.0004;0.0365;0.4511;4.5087;2.2552;0.8688;0.5192
103.5;SEEDLE;1;0.0480;0.6250;0.6429;0.1131;0.1092;0.0370;0.0030;0.0003;0.0004;0.0000;0.1471;0.1045;0.1030;0.0006;0.0468;0.1810;4.3565;2.0687;1.6641;0.2177
104;SEEDLE;1;0.0143;0.5449;0.5540;0.0366;0.0390;0.0712;0.0003;0.0000;0.0000;0.0000;0.0456;0.0324;0.0319;0.0006;0.0145;0.0671;3.9032;1.6719;1.2049;0.1241
104;SEEDLE;2;0.0421;0.3820;0.3887;0.1576;0.1535;0.0640;0.0040;0.0004;0.0005;0.0000;0.1320;0.0938;0.0924;0.0004;0.0420;0.4124;3.9182;2.3121;0.9432;0.5943
104;SEEDLE;3;0.0626;0.5778;0.8421;0.2396;0.2621;0.0079;0.0046;0.0005;0.0006;0.0000;0.1705;0.1212;0.1194;0.0008;0.0543;0.4148;4.2439;2.5004;3.2364;0.0751
104;SEEDLE;4;0.0301;0.5060;0.5205;0.0889;0.0871;0.0567;0.0014;0.0001;0.0002;0.0000;0.0908;0.0645;0.0636;0.0005;0.0289;0.1756;4.5870;2.5885;1.4830;0.1720
104;SEEDLE;5;0.0178;0.3554;0.3633;0.0849;0.0910;0.0284;0.0006;0.0001;0.0001;0.0000;0.0477;0.0339;0.0334;0.0004;0.0152;0.2388;4.8182;2.0128;1.3402;0.1245
104.5;SEEDLE;1;0.0284;0.3309;0.3374;0.1106;0.1097;0.0193;0.0020;0.0002;0.0003;0.0000;0.0891;0.0633;0.0624;0.0003;0.0284;0.3342;4.0713;1.6752;0.8281;0.5196
104.5;SEEDLE;2;0.0420;0.6258;0.6323;0.0949;0.0955;0.0459;0.0026;0.0003;0.0003;0.0000;0.1307;0.0929;0.0915;0.0006;0.0416;0.1516;4.3258;2.1026;1.5209;0.2282
105.5;SEEDLE;1;0.0662;0.6516;0.6539;0.1467;0.1494;0.0069;0.0059;0.0006;0.0007;0.0000;0.2078;0.1477;0.1455;0.0007;0.0661;0.2251;4.2031;1.5435;1.5028;0.3681
105.5;SEEDLE;2;0.0153;0.5914;0.5926;0.0390;0.0366;0.0076;0.0003;0.0000;0.0000;0.0000;0.0476;0.0338;0.0333;0.0006;0.0151;0.0659;4.8054;1.2097;1.2914;0.1153
105.5;SEEDLE;3;0.0133;0.3446;0.3664;0.0589;0.0570;0.1649;0.0004;0.0000;0.0000;0.0000;0.0406;0.0288;0.0284;0.0004;0.0129;0.1709;4.7456;1.8817;0.8033;0.2588
106;SEEDLE;1;0.0625;0.9178;0.9424;0.1274;0.1179;0.0843;0.0036;0.0004;0.0005;0.0000;0.1959;0.1392;0.1372;0.0009;0.0623;0.1388;3.4939;3.4580;2.0783;0.1819
106;SEEDLE;2;0.0270;0.6677;0.6798;0.0586;0.0586;0.0645;0.0009;0.0001;0.0001;0.0000;0.0846;0.0601;0.0593;0.0007;0.0269;0.0878;3.9021;2.9496;1.4960;0.1519
106;SEEDLE;3;0.0343;0.4758;0.4858;0.0822;0.0877;0.0581;0.0020;0.0002;0.0003;0.0000;0.1078;0.0766;0.0755;0.0005;0.0343;0.1728;4.7264;3.5484;1.0993;0.3562
106;SEEDLE;4;0.0542;0.5286;0.5421;0.1321;0.1301;0.0597;0.0046;0.0005;0.0006;0.0000;0.1699;0.1207;0.1190;0.0005;0.0541;0.2499;5.0883;2.6859;1.2579;0.4301
106;SEEDLE;5;0.1402;0.5633;0.6008;0.4262;0.4117;0.0330;0.0377;0.0038;0.0048;0.0000;0.4780;0.3397;0.3347;0.0006;0.1521;0.7566;5.5229;3.2350;1.6962;0.6121
106.5;SEEDLE;1;0.0881;0.8689;0.8772;0.1403;0.1403;0.0304;0.0072;0.0007;0.0009;0.0000;0.2752;0.1956;0.1927;0.0009;0.0876;0.1615;4.0062;2.0152;2.0291;0.2689
106.5;SEEDLE;2;0.0126;0.4502;0.4634;0.0444;0.0417;0.0957;0.0003;0.0000;0.0000;0.0000;0.0392;0.0279;0.0275;0.0005;0.0125;0.0987;4.3714;2.1691;1.0149;0.1539
107;SEEDLE;1;0.0089;0.4035;0.4133;0.0366;0.0320;0.1001;0.0002;0.0000;0.0000;0.0000;0.0282;0.0201;0.0198;0.0004;0.0090;0.0906;3.0486;1.2670;0.9198;0.1320
107;SEEDLE;2;0.1106;0.7227;0.7679;0.2314;0.2503;0.1371;0.0130;0.0013;0.0017;0.0000;0.3415;0.2427;0.2392;0.0008;0.1087;0.3201;3.2236;1.0190;2.0711;0.3240
107.5;SEEDLE;1;0.0214;0.5532;0.5538;0.0545;0.0545;0.0082;0.0007;0.0001;0.0001;0.0000;0.0667;0.0474;0.0467;0.0006;0.0212;0.0984;3.7749;1.9155;1.1973;0.1879
107.5;SEEDLE;2;0.0068;0.4255;0.4275;0.0287;0.0304;0.0424;0.0001;0.0000;0.0000;0.0000;0.0215;0.0153;0.0151;0.0004;0.0068;0.0675;4.0169;1.4371;1.0031;0.0854
107.5;SEEDLE;3;0.0068;0.3490;0.3604;0.0364;0.0315;0.0650;0.0001;0.0000;0.0000;0.0000;0.0211;0.0150;0.0148;0.0004;0.0067;0.1043;4.3465;2.0965;0.8084;0.1303
108;SEEDLE;1;0.0200;0.3440;0.3468;0.1017;0.1000;0.0187;0.0012;0.0001;0.0002;0.0000;0.0630;0.0448;0.0441;0.0003;0.0200;0.2956;3.1712;2.1478;0.8033;0.3887
108;SEEDLE;2;0.0180;0.3348;0.3413;0.0959;0.0874;0.0301;0.0008;0.0001;0.0001;0.0000;0.0562;0.0399;0.0394;0.0003;0.0179;0.2863;3.3359;2.7623;0.8179;0.3388
108;SEEDLE;3;0.2141;1.0660;1.1180;0.2669;0.2730;0.0248;0.0314;0.0031;0.0040;0.0000;0.6031;0.4286;0.4224;0.0011;0.1920;0.2503;3.9640;2.0074;3.6190;0.2055
108.5;SEEDLE;1;0.0082;0.4590;0.4705;0.0404;0.0404;0.0815;0.0001;0.0000;0.0000;0.0000;0.0260;0.0185;0.0182;0.0005;0.0083;0.0879;3.6359;2.1541;1.0452;0.0942
