Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
39.5;2693;7081.223739;2799.553571;3513.165266;82.33981092;0;0;0;0;0;0;0;109.7864146;0;0;0;27.44660364;82.33981092;0;0;0;0;27.44660364;0;0;0;0;0;0;0;0;0;0;0;0;0;137.2330182;0;247.0194328;54.89320728;0;0;0;27.44660364;4556.136204;5297.194503;0;0;0;0;0;0;0;0;0;0;13860.53484;;;;;;
40;2719;7669.610305;2187.151228;4257.65439;87.48604911;58.32403274;0;0;0;0;0;0;233.296131;0;0;0;0;58.32403274;0;0;0;0;29.16201637;0;0;0;0;0;0;0;0;0;0;0;0;0;58.32403274;29.16201637;174.9720982;0;0;0;0;0;5132.514881;5774.079241;0;0;0;0;0;0;0;0;0;0;14639.33222;;;;;;
40.5;2742;7736.40073;2558.731759;4364.895353;150.5136329;0;0;0;0;0;0;30.10272657;60.20545315;0;0;0;0;120.4109063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120.4109063;0;301.0272657;60.20545315;0;0;0;0;5087.360791;5809.826229;0;0;0;0;0;0;0;0;0;0;15141.67147;;;;;;
41;2767.5;21011.58009;4935.606061;7967.478355;564.0692641;141.017316;0;0;0;0;0;0;282.034632;0;0;0;0;70.50865801;0;0;0;141.017316;0;0;70.50865801;0;0;0;0;0;0;0;0;0;0;0;141.017316;0;1339.664502;70.50865801;0;0;0;0;12903.08442;13819.69697;0;0;0;0;0;0;0;0;0;0;35324.83766;;;;;;
41.5;2792;9085.544218;1772.789116;4400.315841;158.2847425;126.627794;0;0;31.65694849;0;0;63.31389699;31.65694849;0;0;0;31.65694849;126.627794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;601.4820214;31.65694849;0;0;0;0;5856.535471;6204.761905;31.65694849;31.65694849;0;0;0;0;0;0;0;0;15828.47425;;;;;;
42;2820;36231.37755;5761.564626;11855.52721;221.5986395;110.7993197;0;0;0;0;0;221.5986395;332.3979592;221.5986395;0;0;0;221.5986395;0;0;0;0;110.7993197;0;110.7993197;0;0;0;0;0;0;0;0;0;0;0;110.7993197;0;1440.391156;110.7993197;0;0;0;0;20830.27211;21938.26531;0;0;0;0;0;0;0;0;0;0;55510.45918;;;;;;
42.5;2847;8942.156863;2615.73296;3345.704949;182.4929972;91.2464986;0;0;0;0;0;0;30.41549953;0;0;0;0;91.2464986;0;0;0;0;60.83099907;0;0;0;0;0;0;0;0;0;0;0;0;0;60.83099907;30.41549953;304.1549953;0;0;0;0;0;4805.648926;5900.606909;0;0;0;0;0;0;0;0;0;0;15420.65826;;;;;;
43;2875.5;17003.43407;3460.347985;8471.886447;178.9835165;119.3223443;0;0;59.66117216;0;0;0;238.6446886;0;0;0;0;238.6446886;0;0;0;0;59.66117216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954.5787546;59.66117216;0;0;0;0;10381.04396;11693.58974;0;0;0;0;0;0;0;0;0;0;29830.58608;;;;;;
43.5;2902.5;10099.97354;2102.724868;4756.984127;103.4126984;34.47089947;0;0;0;0;0;34.47089947;34.47089947;0;34.47089947;0;0;34.47089947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137.8835979;68.94179894;654.9470899;0;0;0;0;0;5515.343915;6687.354497;0;0;0;0;0;0;0;0;0;0;17373.33333;;;;;;
44;2928.5;10452.06916;2769.982993;4727.437642;110.7993197;110.7993197;0;0;0;0;0;0;110.7993197;0;0;0;0;147.7324263;0;0;0;0;0;0;36.93310658;0;0;0;0;0;0;0;0;0;0;0;36.93310658;73.86621315;258.531746;73.86621315;0;0;0;0;5835.430839;7017.290249;0;0;0;0;0;0;0;0;0;0;18503.48639;;;;;;
44.5;2953.5;8647.061803;2343.287741;4884.599797;165.0202634;165.0202634;0;0;0;0;0;0;99.01215805;0;0;0;0;132.0162107;0;0;0;0;0;0;66.00810537;0;0;0;0;0;0;0;0;0;0;0;99.01215805;0;429.0526849;0;0;0;0;0;5478.672746;6270.77001;0;33.00405268;0;0;0;0;0;0;0;0;16601.0385;;;;;;
45;2981;16509.09864;3434.778912;7146.556122;332.3979592;0;0;0;55.39965986;0;0;0;55.39965986;55.39965986;0;0;0;110.7993197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110.7993197;55.39965986;664.7959184;55.39965986;0;0;0;0;9528.741497;10858.33333;0;166.1989796;0;0;0;0;0;0;0;0;27810.62925;;;;;;
45.5;3008.5;10198.25228;1980.243161;3960.486322;66.00810537;0;0;0;0;0;0;0;231.0283688;0;0;0;0;66.00810537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.00405268;0;330.0405268;0;0;0;0;0;5049.620061;6468.794326;0;33.00405268;0;0;0;0;0;0;0;0;16535.0304;;;;;;
46;3036.5;13524.44196;3344.754464;6447.135417;533.2217262;48.47470238;0;0;0;0;0;0;145.4241071;0;0;0;0;145.4241071;0;0;0;0;0;0;48.47470238;0;0;0;0;0;0;0;0;0;0;0;48.47470238;48.47470238;484.7470238;0;0;0;0;0;8143.75;9549.516369;0;0;0;0;0;0;0;0;0;0;24285.82589;;;;;;
46.5;3063.5;11246.13095;2326.785714;5700.625;155.1190476;0;0;0;38.7797619;0;0;0;155.1190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155.1190476;0;232.6785714;116.3392857;0;0;0;0;6204.761905;7484.494048;0;38.7797619;0;0;0;0;0;0;0;0;19777.67857;;;;;;
47;3090.5;10404.32636;2572.706156;5410.24971;227.0034843;0;0;37.83391405;0;0;0;37.83391405;75.66782811;37.83391405;0;0;0;75.66782811;0;0;0;37.83391405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151.3356562;0;378.3391405;0;0;0;0;0;6015.592334;7301.945412;0;0;0;0;0;0;0;0;0;0;19068.29268;;;;;;
47.5;3116;5674.091479;1612.421679;2632.941729;61.23120301;61.23120301;0;0;0;0;0;0;40.82080201;20.410401;0;0;0;102.052005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.23120301;0;285.745614;0;0;0;0;0;2530.889724;3796.334586;0;20.410401;0;0;0;0;0;0;0;0;10266.4317;;;;;;
48;3141;10858.33333;2426.221001;6125.213675;159.0964591;119.3223443;0;0;0;0;0;0;159.0964591;0;0;0;0;39.77411477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278.4188034;39.77411477;0;0;0;0;6403.632479;7676.404151;0;0;0;0;0;0;0;0;0;0;19887.05739;;;;;;
