sample.id;depth;age;Pinus;Picea;Betula;Alnus;Juniperus;Salix;Ericaceae;Poaceae;Artemisia;Cyperaceae;Sphagnum
193;97;7283;58.26771654;0;39.17322835;1.57480315;0.393700787;0;0.196850394;0.393700787;0;0;0
194;97.5;7302;58.01980198;0.198019802;40.1980198;1.188118812;0;0;0.198019802;0;0;0;0.197628458
195;98;7319;59.2445328;0;37.77335984;1.391650099;0.994035785;0.198807157;0.198807157;0.198807157;0;0;0.198412698
196;98.5;7338.5;61.27744511;0;36.32734531;1.996007984;0.199600798;0;0;0.199600798;0;0;0.199203187
197;99;7357;58.47953216;0;39.76608187;0.974658869;0.389863548;0;0.194931774;0.194931774;0;0;0
198;99.5;7376.5;58.08383234;0;40.51896208;1.19760479;0.199600798;0;0;0;0;0;0.397614314
199;100;7394.5;60.19417476;0;37.66990291;1.165048544;0.388349515;0;0.388349515;0;0;0.194174757;0
200;100.5;7413;60.71428571;0;36.70634921;1.388888889;0.198412698;0.198412698;0.198412698;0.198412698;0;0;0
201;101;7430;64.08730159;0;34.92063492;0.793650794;0.198412698;0;0;0;0;0;0.198019802
202;101.5;7448.5;63.89413989;0;34.7826087;0.56710775;0.189035917;0;0;0.378071834;0;0.189035917;0.376647834
203;102;7468;60.99009901;0;38.21782178;0.396039604;0.198019802;0;0;0.198019802;0;0;0.197628458
204;102.5;7487.5;59.28853755;0;39.5256917;0.790513834;0.197628458;0;0;0.197628458;0;0;0.393700787
205;103;7506;57.25646123;0;39.3638171;1.590457256;0.994035785;0;0;0.795228628;0;0;0.592885375
206;103.5;7525;59.01960784;0;38.03921569;1.764705882;0.588235294;0;0.196078431;0.196078431;0;0.196078431;0.584795322
207;104;7543;60.7495069;0.197238659;36.29191321;1.775147929;0.197238659;0;0;0.394477318;0;0.394477318;0.196850394
208;104.5;7559;57.50487329;0;38.59649123;1.754385965;0.194931774;0;0.194931774;1.169590643;0;0.584795322;0.194552529
209;105;7578;57.96812749;0;38.64541833;1.792828685;0.597609562;0;0;0.597609562;0.199203187;0.199203187;0
210;105.5;7596;55.70599613;0;41.3926499;1.547388781;0.193423598;0;0;0.773694391;0;0.193423598;0.193050193
211;106;7615;56.01577909;0;40.23668639;1.972386588;0.197238659;0.394477318;0.197238659;0.591715976;0;0;0.196850394
212;106.5;7635;57.17092338;0;40.07858546;1.37524558;0.392927308;0;0;0.392927308;0;0.392927308;0.196078431
213;107;7652;56.28742515;0;41.11776447;1.19760479;0.199600798;0;0.199600798;0.798403194;0;0.199600798;0.595238095
214;107.5;7669.5;53.86138614;0;43.76237624;1.584158416;0.198019802;0;0;0.594059406;0;0;0.197628458
215;108;7687.5;52.57936508;0;45.03968254;1.388888889;0;0.198412698;0;0.198412698;0.198412698;0;0.395256917
216;108.5;7706;44.77317554;0;52.85996055;1.57790927;0.197238659;0.197238659;0;0.197238659;0;0.197238659;0.196850394
217;109;7729.5;35.62992126;0;59.84251969;3.346456693;0.196850394;0.196850394;0.393700787;0.196850394;0;0.196850394;0
218;109.5;7781;36.41732283;0;59.4488189;2.165354331;0.196850394;0.196850394;0;1.377952756;0;0.196850394;0.196463654
219;110;7837;32.20675944;0;63.4194831;2.783300199;0.397614314;0;0.198807157;0.994035785;0;0;0.198412698
220;110.5;7890;20.85769981;0;74.46393762;1.949317739;0.389863548;0.194931774;0;1.754385965;0;0;0.194552529
221;111;7940;17.72908367;0;77.68924303;2.788844622;0.597609562;0;0.199203187;0.996015936;0;0;0.594059406
