Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Brasicaceae;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Neurospora;Cercophora;Selaginella;plantago lanceolate;Gelasinospora;drosera rotundifolia;Pinus 1/2;Picea 1/2;Betula Coroded;POLLEN SUM;Sediment accrate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol., ml;Sample thickness, cm
102;7468;1568.746002;0;983.0129171;10.18666235;5.093331177;0;0;0;0;0;0;0;0;0;0;0;5.093331177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.093331177;10.18666235;0;0;0;0;534.7997736;896.4262871;0;0;0;0;0;0;0;0;0;0;0;0;702.8797024;0;0;2572.132244;;;;;;;
102.5;7487.5;1437.227114;0;958.1514095;19.16302819;4.790757047;0;0;0;0;0;0;0;0;0;0;0;4.790757047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.581514095;14.37227114;0;0;0;0;474.2849477;891.0808108;0;0;0;0;0;0;0;0;0;0;0;0;747.3580994;0;0;2424.123066;;;;;;;
103;7506;1302.369542;0;895.3790601;36.17693172;22.61058233;0;0;0;0;0;0;0;0;0;0;0;18.08846586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.5663494;22.61058233;0;0;0;0;420.5568313;845.635779;0;0;0;0;0;0;0;0;0;0;0;0;732.5828674;0;0;2274.624582;;;;;;;
103.5;7525;1891.477987;0;1219.092125;56.55582021;18.85194007;0;0;0;0;0;0;6.283980023;0;0;0;0;6.283980023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.283980023;0;18.85194007;31.41990012;0;0;0;0;772.9295429;1200.240184;0;0;0;0;0;0;0;0;0;0;6.283980023;0;992.8688437;0;0;3204.829812;;;;;;;
104;7543;1432.989137;4.652562133;856.0714324;41.87305919;4.652562133;0;0;0;0;0;0;0;0;0;0;0;9.305124265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.305124265;0;4.652562133;13.9576864;0;0;0;0;446.6459647;856.0714324;0;0;0;0;0;0;0;0;0;0;0;0;744.4099412;0;0;2358.849001;;;;;;;
104.5;7559;1784.257578;0;1197.569493;54.43497695;6.048330772;0;0;0;0;0;0;6.048330772;0;0;0;0;36.28998463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.14499232;6.048330772;6.048330772;36.28998463;0;0;0;0;725.7996927;1173.37617;0;0;0;0;0;0;0;0;0;0;0;0;955.636262;0;0;3102.793686;;;;;;;
105;7578;2386.527803;0;1591.018535;73.81013824;24.60337941;0;0;0;0;0;0;0;0;0;0;0;24.60337941;0;0;0;0;8.201126471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.201126471;8.201126471;0;65.60901177;0;0;0;0;1156.358832;1582.817409;0;0;0;0;0;0;0;0;0;0;0;0;1197.364465;0;0;4116.965489;;;;;;;
105.5;7596;1720.414086;0;1278.363245;47.78928018;5.973660022;0;0;0;0;0;0;0;0;0;0;0;23.89464009;0;0;0;5.973660022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.973660022;0;5.973660022;23.89464009;0;0;0;0;710.8655426;1081.232464;0;0;0;0;0;0;0;0;0;0;0;0;884.1016833;0;0;3088.382231;;;;;;;
106;7615;1579.518105;0;1134.583428;55.61683469;5.561683469;0;0;0;0;0;11.12336694;5.561683469;0;0;0;0;16.68505041;0;0;0;5.561683469;0;0;5.561683469;0;0;0;0;0;0;0;0;0;0;0;0;0;5.561683469;5.561683469;50.05515122;0;0;0;0;628.470232;1006.664708;0;0;0;0;0;0;0;0;0;0;0;0;867.6226212;0;0;2819.773519;;;;;;;
106.5;7635;1852.699216;0;1298.79945;44.5666478;12.73332794;0;0;0;0;0;0;0;0;0;0;0;12.73332794;0;0;6.366663971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.73332794;0;6.366663971;50.93331177;0;0;0;0;789.4663324;1184.199499;0;0;0;0;0;0;0;0;0;0;0;0;1005.932907;0;0;3240.631961;;;;;;;
