Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
50.5;3284;58.05168986;12.52485089;26.44135189;0.596421471;0.795228628;0;0;0;0;0;0.198807157;0.596421471;0;0;0;0;0;0;0;0;0;0;0;0.198807157;0;0;0;0;0;0;0;0;0;0;0;0.596421471;0;3.082851638;0.198412698;0;0;0;0;23.43987823;27.72988506;0;0;0;0;0;0;0;0;0;0;;;;;;;
51;3320;49.30693069;15.64356436;30.4950495;1.584158416;0.594059406;0;0;0;0;0;0.396039604;0.792079208;0;0;0;0;1.188118812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.174168297;0.197628458;0;0;0;0;22.18798151;27.02312139;0;0;0;0;0;0;0;0;0;0;;;;;;;
51.5;3360;53.2;13.4;31.4;1.2;0.4;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;1.768172888;0;0;0;0;0;22.7202473;27.21979622;0;0;0;0;0;0;0;0;0;0;;;;;;;
52;3394.5;57.88423154;13.37325349;27.34530938;0.598802395;0.199600798;0;0;0.199600798;0;0;0;0;0;0;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;1.571709234;0.199203187;0;0;0;0;17.46293245;25.11210762;0;0;0;0;0;0;0;0;0;0;;;;;;;
52.5;3425;60.2;12.6;26;0.8;0.2;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57480315;0.199600798;0;0;0;0;22.95839753;27.21979622;0;0;0;0;0;0;0;0;0;0;;;;;;;
53;3457;60.38461538;11.92307692;23.84615385;0.961538462;0.576923077;0;0;0.384615385;0;0;0.192307692;0.769230769;0;0;0;0;0.384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.576923077;0.19193858;1.701323251;0;0;0;0;0;19.50464396;26.44978784;0;0;0;0;0;0;0;0;0;0;;;;;;;
53.5;3489;59.28143713;9.780439122;26.74650699;1.796407186;0.199600798;0;0;0;0;0;0;1.596806387;0;0;0;0;0.199600798;0;0;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;0.792079208;0.199203187;0;0;0;0;22.56568779;27.49638205;0;0;0;0;0;0;0;0;0;0;;;;;;;
54;3521;64.07185629;9.98003992;23.55289421;0.798403194;0.399201597;0;0;0;0;0;0;0.598802395;0;0;0;0;0.399201597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;0.595238095;0.199203187;0;0;0;0;15.79831933;23.62804878;0;0;0;0;0;0;0;0;0;0;;;;;;;
54.5;3553;57.42574257;12.07920792;26.93069307;0.792079208;0;0;0;0.198019802;0;0;0;0.99009901;0;0;0;0;0;0;0;0;0;0.198019802;0;0.198019802;0;0;0.198019802;0;0;0;0;0;0;0;0;0.99009901;0;1.174168297;0;0;0;0;0;14.83979764;22.42703533;0;0;0;0;0;0;0;0;0;0;;;;;;;
56;3647;57.36738703;8.447937132;29.66601179;1.178781925;0.589390963;0;0;0;0;0;0;0.589390963;0;0;0;0;0.392927308;0;0;0;0;0.785854617;0;0;0;0;0;0;0;0;0;0;0;0;0;0.982318271;0;1.356589147;0.391389432;0;0;0;0;22.40853659;26.97274032;0;0;0;0;0;0;0;0;0;0;;;;;;;
56.5;3680;55.28942116;8.183632735;33.93213573;1.596806387;0;0;0;0.199600798;0;0;0;0;0;0;0;0;0.399201597;0;0;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;0.595238095;0.199203187;0;0;0;0;23.39449541;28.2234957;0;0;0;0;0;0;0;0;0;0;;;;;;;
57;3712;54.29141717;10.17964072;33.13373253;0.598802395;0.199600798;0;0;0;0;0;0;0.998003992;0;0;0;0;0.199600798;0;0;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;0.792079208;0.199203187;0;0;0;0;24.20574887;27.91366906;0;0;0;0;0;0;0;0;0;0;;;;;;;
57.5;3742.5;54.96031746;9.325396825;30.75396825;2.182539683;0.595238095;0;0;0.198412698;0;0;0;0.396825397;0;0.198412698;0;0;0.595238095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.793650794;0;1.945525292;0;0;0;0;0;22.6993865;27.48201439;0;0;0;0;0;0;0;0;0;0;;;;;;;
58;3774;60.11904762;9.126984127;27.38095238;1.587301587;0;0;0;0;0;0;0;0.396825397;0;0.198412698;0;0;0.396825397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.793650794;0;0.787401575;0;0;0;0;0;21.4953271;27.16763006;0;0;0;0;0;0;0;0;0;0;;;;;;;
58.5;3804;61.61417323;12.00787402;22.83464567;0.787401575;0.393700787;0;0;0.196850394;0;0;0;0.787401575;0;0;0;0;0.590551181;0;0;0;0;0.196850394;0;0;0;0;0;0;0;0;0;0;0;0;0;0.590551181;0;1.167315175;0.196463654;0;0;0;0;21.60493827;27.42857143;0;0;0;0;0;0;0;0;0;0;;;;;;;
59;3837;62.57425743;9.900990099;23.16831683;0.99009901;0.594059406;0;0;0.198019802;0;0;0;0.99009901;0;0;0;0;0.198019802;0;0;0;0.198019802;0.198019802;0;0;0;0;0;0;0;0;0;0;0;0;0;0.99009901;0;1.559454191;0;0;0;0;0;23.60060514;27.54662841;0;0;0;0;0;0;0;0;0;0;;;;;;;
59.5;3867.5;59.52380952;6.349206349;29.16666667;1.984126984;0;0;0;0;0;0;0;1.19047619;0;0;0;0;0.595238095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.198412698;0.198412698;0.793650794;0;1.176470588;0.591715976;0;0;0;0;20.37914692;26.85050798;0;0;0;0;0;0;0;0;0;0.198019802;;;;;;;
60;3900;54.2;9.6;33.4;1;0.2;0;0;0.4;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.4;0;1.768172888;0;0;0;0;0;24.01215805;27.95389049;0;0;0;0;0;0;0;0;0;0;;;;;;;
60.5;3930.5;60.27944112;9.181636727;26.54690619;2.195608782;0.199600798;0;0;0.199600798;0;0;0;0.798403194;0;0.199600798;0;0;0.199600798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0;1.571709234;0.199203187;0;0;0;0;17.73399015;25;0;0;0;0;0;0;0;0;0;0;;;;;;;
61;3964;55.859375;8.7890625;31.4453125;1.953125;0;0;0;0;0;0;0.1953125;0.78125;0;0;0;0;0.5859375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.390625;0;0.775193798;0;0;0;0;0;22.65861027;26.96148359;0;0;0;0;0;0;0;0;0;0;;;;;;;
61.5;3993.5;51.57480315;9.05511811;35.82677165;1.968503937;0;0;0;0;0;0;0;0.393700787;0;0;0;0;0.787401575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.393700787;0.196463654;1.167315175;0.392156863;0;0;0;0;16.72131148;25.51319648;0;0;0;0;0;0;0;0;0;0;;;;;;;
62;4024;54.2;11;30.2;2.8;0;0;0;0;0;0;0.6;0.8;0.2;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.768172888;0.596421471;0;0;0;0;20.63492063;26.79355783;0;0;0;0;0;0;0;0;0;0;;;;;;;
62.5;4055;58.90410959;8.806262231;28.57142857;2.544031311;0.195694716;0;0;0;0;0;0;0.391389432;0;0;0;0;0.195694716;0;0;0;0;0.195694716;0;0;0;0;0;0;0;0;0;0;0;0;0;0.195694716;0;0.968992248;0.1953125;0;0;0;0;15.53719008;24.40828402;0;0;0;0;0;0;0;0;0;0;;;;;;;
63;4090;49.70238095;10.01984127;35.11904762;3.571428571;0;0;0;0;0;0;0;0.198412698;0;0.198412698;0;0;0.198412698;0;0;0;0;0.198412698;0;0;0;0;0;0;0;0;0;0;0;0;0;0.793650794;0.198019802;0.982318271;0;0;0;0;0;21.25;27.5862069;0;0;0;0;0;0;0;0;0;0;;;;;;;
63.5;4120;52.9296875;9.375;32.03125;1.7578125;0.390625;0;0.1953125;0.1953125;0;0;0.390625;1.3671875;0;0;0.1953125;0;0.5859375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5859375;0;0.194931774;0;0;0;0;0;18.98734177;26.75250358;0;0;0;0;0;0;0;0;0;0;;;;;;;
