"Age" "BB" "FF" "FS" "TC" "LW" "MeanArea" "Pinus" "Picea" "Betula" "Alnus" "Juniperus" "Salix" "Ericaceae" "Poaceae" "Artemisia" "Cyperaceae" "Sphagnum" "Tree" "ROC"
2077.5 0.561646207411172 0.00439373687708774 1.37402246973547 9.69975900095499 0 0.0466 60.3960396 12.67326733 25.14851485 0.792079208 0 0 0.396039604 0 0 0.198019802 1.3671875 3097.54908195 0.077727453338959
2125 0.631886790669248 0.00433706750432352 1.42700174096206 10.5658940456696 0.5 0.033675 54.89021956 14.37125749 28.54291417 0.798403194 0.199600798 0 0.399201597 0.199600798 0.399201597 0 0.792079208 2685.0490552 0.0934379057700942
2217.5 0.747730786371212 0.00422110147985492 1.53383017500251 9.46735799976438 0 0.0263 57.7689243 12.35059761 27.88844622 0.597609562 0 0.398406375 0.199203187 0.398406375 0 0.398406375 0.198807157 3133.9708133 0.0470364008623614
2265 0.778707107704941 0.00416185351040699 1.5828268125574 9.97651901609973 0 0.0701 57.08661417 10.43307087 31.1023622 0.393700787 0 0 0.590551181 0.196850394 0.196850394 0 0.78125 2683.33793483 0.0714315907142834
2311 0.789977305679395 0.00410677300101136 1.6244942891969 9.56019420063934 0.285714285714286 0.0272571428571429 56.2745098 14.90196078 26.8627451 1.176470588 0 0 0.392156863 0.196078431 0 0 0.970873786 2803.16278278 0.0897788401854042
2356 0.782745206980807 0.00405660305970807 1.65797537698786 11.3961457728142 0.25 0.053825 55.84158416 11.68316832 30.4950495 0.594059406 0.198019802 0 0.99009901 0.198019802 0 0 0.980392157 3052.33804669 0.0764293614230741
2402 0.756731212891654 0.00401049353938868 1.68301311717358 9.46508599993286 1 0.03275 66.40159046 10.33797217 21.66998012 0.795228628 0.198807157 0 0.198807157 0.198807157 0 0 0.984251969 2637.57725172 0.051221818284099
2447.5 0.712129939592562 0.00397138413216324 1.69671729168257 10.2033183459613 0 0.0256 59.6 12.2 25.4 1 0 0.2 0.4 0.4 0.4 0 1.380670611 3822.79415478 0.0507864580051112
2504 0.633505255177823 0.00393353674816324 1.69705675990974 9.96725919282511 0.5 0.033025 57.17131474 10.75697211 29.48207171 1.394422311 0 0 0.597609562 0.398406375 0 0.199203187 0.986193294 2506.73235189 0.0536493764194383
2686 0.330108635705052 0.00390926700079119 1.60060079294853 9.74048562091503 0 0.06485 56.34920635 12.1031746 27.38095238 1.19047619 0.396825397 0 0.793650794 0.595238095 0.198412698 0.198412698 0.591715976 5187.0302873 0.0836978836676494
2711 0.290657564268818 0.00391844503913414 1.57866393700695 10.2171333333333 0.166666666666667 0.07005 55.77689243 11.95219124 29.88047809 0.996015936 0.199203187 0 0.996015936 0 0 0 0.396825397 4390.6505053 0.0762318234548754
2738 0.250597135803079 0.00393178425610078 1.55365474322073 11.4267223880597 0.333333333333333 0.0511666666666667 55.55555556 12.6984127 29.96031746 0.793650794 0.198412698 0 0.198412698 0.396825397 0 0 1.176470588 4074.85030964 0.0963108283516894
